gene	T_cell	T_CD8	T_CD4_reg	T_eff	T_naive	T_CD8_ex	T_TFH	B_cell	Plasma	Plasma_IGA	Plasma_IGG	Macrophage	Macrophage_M1	Macrophage_M2	Macrophage_Angiogenesis	Macrophage_Phagocytosis	CAF	iCAF	mCAF	apCAF
CCL24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LYVE1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
VEGFA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
VEGFB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
VEGFC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
VEGFD	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EGF	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CTSA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CTSB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CTSC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CTSD	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TGFB1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
TGFB2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TGFB3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MMP14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MMP19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MMP9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
CLEC7A	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WNT7B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FASL	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TNFSF12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TNFSF8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CD276	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
VTCN1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MSR1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FN1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IRF4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCND2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CCNE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CD44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CXCR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
E2F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EDN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EZH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FGF18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FGFR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
